product_id,category,product_title,brand,model,features,price,rating,review_count,image_url,inch
B0DLJCCPHW,Laptops,"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 15.3 Inches; Colour: Silver; CPU Model: Apple M3; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,167990,3.9,4,https://m.media-amazon.com/images/I/71XltS5fMAL._AC_UY218_.jpg,15.3
B0DLHG1PK6,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8â€‘core CPU and 8â€‘core GPU, 16GB Unified Memory, 256GB) - Starlight",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 13.6 Inches; Colour: Starlight; CPU Model: Apple M3; RAM Memory Installed Size: 16 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,109990,4.5,2,https://m.media-amazon.com/images/I/71XltS5fMAL._AC_UY218_.jpg,13.0
B0DLHGHK9R,Laptops,"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 15.3 Inches; Colour: Midnight; CPU Model: Apple M3; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,167990,3.9,4,https://m.media-amazon.com/images/I/71duqJdFGOL._AC_UY218_.jpg,15.3
B0DLHY232V,Laptops,"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Silver",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 15.3 Inches; Colour: Silver; CPU Model: Apple M3; RAM Memory Installed Size: 16 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,127990,5.0,1,https://m.media-amazon.com/images/I/71wKmwQQgLL._AC_UY218_.jpg,15.3
B0DLHFW1GX,Laptops,"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 15.3 Inches; Colour: Space Gray; CPU Model: Apple M3; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,167990,3.9,4,https://m.media-amazon.com/images/I/71Vo2dXqhLL._AC_UY218_.jpg,15.3
B0DLHFSR9S,Laptops,"Apple 2024 MacBook Air 15â€³ Laptop with M3 chip: 38.91 cm (15.3â€³) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 15.3 Inches; Colour: Starlight; CPU Model: Apple M3; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,167990,3.9,4,https://m.media-amazon.com/images/I/71wKmwQQgLL._AC_UY218_.jpg,15.3
B0DLHH4BJ9,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8â€‘core CPU and 10â€‘core GPU, 24GB Unified Memory, 512GB) - Space Gray",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 13.6 Inches; Colour: Space Gray; CPU Model: Apple M3; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,147990,4.1,6,https://m.media-amazon.com/images/I/711xdPNfEhL._AC_UY218_.jpg,13.0
B0CM5WD95F,Laptops,"Apple 2023 MacBook Pro (14-inch, Apple M3 Max chip with 14â€‘core CPU and 30â€‘core GPU, 36GB Unified Memory, 1TB) - Silver",Apple,macbook pro,Brand: Apple; Model Name: MacBook Pro; Screen Size: 14 Inches; Colour: Silver; Hard Disk Size: 1 TB; CPU Model: Apple M2 Ultra; RAM Memory Installed Size: 36 GB; Operating System: Mac OS; Special Feature: Backlit Keyboard; Graphics Card Description: Integrated,289900,4.0,16,https://m.media-amazon.com/images/I/61GS8TscqRL._AC_UY218_.jpg,14.0
B0DLHTNHKD,Laptops,"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8â€‘core CPU and 10â€‘core GPU, 24GB Unified Memory, 512GB) - Starlight",Apple,macbook air,Brand: Apple; Model Name: MacBook Air; Screen Size: 13.6 Inches; Colour: Starlight; CPU Model: Apple M3; RAM Memory Installed Size: 24 GB; Operating System: Mac OS; Graphics Card Description: Integrated; CPU Speed: 0.01 GHz; Hard Disk Description: SSD,147990,3.9,4,https://m.media-amazon.com/images/I/71nllewIU9L._AC_UY218_.jpg,13.0
B0D143SJ9R,Laptops,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",Samsung,samsung book4,"Brand: Samsung; Model Name: Samsung Galaxy Book4; Screen Size: 15.6 Inches; Colour: Gray; Hard Disk Size: 512 GB; CPU Model: Intel Core i5; RAM Memory Installed Size: 16 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad; Graphics Card Description: Integrated",53980,3.9,26,https://m.media-amazon.com/images/I/71TwTzVcVqL._AC_UY218_.jpg,15.6
